class,subclass,variable,N
MANAGED CONVENTIONAL,Industry,agriculture,195
MANAGED CONVENTIONAL,Industry,economy,195
MANAGED CONVENTIONAL,Industry,energy,195
MANAGED CONVENTIONAL,Industry,environment,195
MANAGED CONVENTIONAL,Industry,interception,195
MANAGED CONVENTIONAL,Industry,leisure,195
MANAGED CONVENTIONAL,Industry,non_beneficial,195
MANAGED CONVENTIONAL,Industry,soil,195
MANAGED CONVENTIONAL,Industry,transpiration,195
MANAGED CONVENTIONAL,Industry,water,195
MANAGED CONVENTIONAL,Irrigated crops,agriculture,195
MANAGED CONVENTIONAL,Irrigated crops,economy,195
MANAGED CONVENTIONAL,Irrigated crops,energy,195
MANAGED CONVENTIONAL,Irrigated crops,environment,195
MANAGED CONVENTIONAL,Irrigated crops,interception,195
MANAGED CONVENTIONAL,Irrigated crops,leisure,195
MANAGED CONVENTIONAL,Irrigated crops,non_beneficial,195
MANAGED CONVENTIONAL,Irrigated crops,soil,195
MANAGED CONVENTIONAL,Irrigated crops,transpiration,195
MANAGED CONVENTIONAL,Irrigated crops,water,195
MANAGED CONVENTIONAL,Managed water bodies,agriculture,195
MANAGED CONVENTIONAL,Managed water bodies,economy,195
MANAGED CONVENTIONAL,Managed water bodies,energy,195
MANAGED CONVENTIONAL,Managed water bodies,environment,195
MANAGED CONVENTIONAL,Managed water bodies,interception,195
MANAGED CONVENTIONAL,Managed water bodies,leisure,195
MANAGED CONVENTIONAL,Managed water bodies,non_beneficial,195
MANAGED CONVENTIONAL,Managed water bodies,soil,195
MANAGED CONVENTIONAL,Managed water bodies,transpiration,195
MANAGED CONVENTIONAL,Managed water bodies,water,195
MANAGED CONVENTIONAL,Others,agriculture,195
MANAGED CONVENTIONAL,Others,economy,195
MANAGED CONVENTIONAL,Others,energy,195
MANAGED CONVENTIONAL,Others,environment,195
MANAGED CONVENTIONAL,Others,interception,195
MANAGED CONVENTIONAL,Others,leisure,195
MANAGED CONVENTIONAL,Others,non_beneficial,195
MANAGED CONVENTIONAL,Others,soil,195
MANAGED CONVENTIONAL,Others,transpiration,195
MANAGED CONVENTIONAL,Others,water,195
MANAGED CONVENTIONAL,Residential,agriculture,195
MANAGED CONVENTIONAL,Residential,economy,195
MANAGED CONVENTIONAL,Residential,energy,195
