sheet,id,class,subclass,variable,calculated
sheet2,malu_industry_agr,MANAGED CONVENTIONAL,Industry,agriculture,FALSE
sheet2,malu_crops_agr,MANAGED CONVENTIONAL,Irrigated crops,agriculture,FALSE
sheet2,malu_waterbodies_agr,MANAGED CONVENTIONAL,Managed water bodies,agriculture,FALSE
sheet2,malu_others1_agr,MANAGED CONVENTIONAL,Others,agriculture,FALSE
sheet2,malu_residential_agr,MANAGED CONVENTIONAL,Residential,agriculture,FALSE
sheet2,malu_greenhouses_agr,MANAGED NON_CONVENTIONAL,Greenhouses,agriculture,FALSE
sheet2,malu_idomestic_agr,MANAGED NON_CONVENTIONAL,Indoor domestic,agriculture,FALSE
sheet2,malu_iiindustry_agr,MANAGED NON_CONVENTIONAL,Indoor industry,agriculture,FALSE
sheet2,malu_livestock_agr,MANAGED NON_CONVENTIONAL,Livestock and husbandry,agriculture,FALSE
sheet2,malu_others2_agr,MANAGED NON_CONVENTIONAL,Others,agriculture,FALSE
sheet2,malu_powerandenergy_agr,MANAGED NON_CONVENTIONAL,Power and energy,agriculture,FALSE
sheet2,molu_forest_agr,MODIFIED,Forest plantations,agriculture,FALSE
sheet2,molu_others_agr,MODIFIED,Others,agriculture,FALSE
sheet2,molu_rainfed_agr,MODIFIED,Rainfed crops,agriculture,FALSE
sheet2,molu_settlements_agr,MODIFIED,Settlements,agriculture,FALSE
sheet2,plu_forest_agr,PROTECTED,Forest,agriculture,FALSE
sheet2,plu_glaciers_agr,PROTECTED,Glaciers,agriculture,FALSE
sheet2,plu_grasslands_agr,PROTECTED,Natural grasslands,agriculture,FALSE
sheet2,plu_waterbodies_agr,PROTECTED,Natural water bodies,agriculture,FALSE
sheet2,plu_others_agr,PROTECTED,Others,agriculture,FALSE
sheet2,plu_shrubland_agr,PROTECTED,Shrubland,agriculture,FALSE
sheet2,plu_wetlands_agr,PROTECTED,Wetlands,agriculture,FALSE
sheet2,ulu_forest_agr,UTILIZED,Forest,agriculture,FALSE
sheet2,ulu_grasslands_agr,UTILIZED,Natural grasslands,agriculture,FALSE
sheet2,ulu_waterbodies_agr,UTILIZED,Natural water bodies,agriculture,FALSE
sheet2,ulu_others_agr,UTILIZED,Others,agriculture,FALSE
sheet2,ulu_shrubland_agr,UTILIZED,Shrubland,agriculture,FALSE
sheet2,ulu_wetlands_agr,UTILIZED,Wetlands,agriculture,FALSE
sheet2,malu_industry_eco,MANAGED CONVENTIONAL,Industry,economy,FALSE
sheet2,malu_crops_eco,MANAGED CONVENTIONAL,Irrigated crops,economy,FALSE
sheet2,malu_waterbodies_eco,MANAGED CONVENTIONAL,Managed water bodies,economy,FALSE
sheet2,malu_others1_eco,MANAGED CONVENTIONAL,Others,economy,FALSE
sheet2,malu_residential_eco,MANAGED CONVENTIONAL,Residential,economy,FALSE
sheet2,malu_greenhouses_eco,MANAGED NON_CONVENTIONAL,Greenhouses,economy,FALSE
sheet2,malu_idomestic_eco,MANAGED NON_CONVENTIONAL,Indoor domestic,economy,FALSE
sheet2,malu_iiindustry_eco,MANAGED NON_CONVENTIONAL,Indoor industry,economy,FALSE
sheet2,malu_livestock_eco,MANAGED NON_CONVENTIONAL,Livestock and husbandry,economy,FALSE
sheet2,malu_others2_eco,MANAGED NON_CONVENTIONAL,Others,economy,FALSE
sheet2,malu_powerandenergy_eco,MANAGED NON_CONVENTIONAL,Power and energy,economy,FALSE
sheet2,molu_forest_eco,MODIFIED,Forest plantations,economy,FALSE
sheet2,molu_others_eco,MODIFIED,Others,economy,FALSE
